radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,214,1,111,72453121,0,-3.6714935302734,40.426254272461,1000,1,1,1458931131,1440414578,0
LTE,214,1,111,72453123,0,-3.6728668212891,40.426254272461,1000,1,1,1458931131,1440414578,0
LTE,214,1,111,72453124,0,-3.6701202392578,40.427627563477,1000,1,1,1458931131,1440414578,0
LTE,214,1,111,72453126,0,-3.6728668212891,40.426254272461,1000,1,1,1458931131,1440414578,0
LTE,214,1,111,72478466,0,-3.7236785888672,40.412521362305,1000,1,1,1458931131,1440719308,0
LTE,214,1,111,72478468,0,-3.7140655517578,40.427627563477,1000,1,1,1458931131,1440719308,0
LTE,214,1,111,72478469,0,-3.7126922607422,40.424880981445,1000,1,1,1458931131,1440719308,0
LTE,214,1,111,72478470,0,-3.7140655517578,40.427627563477,1000,1,1,1458931131,1440719308,0
LTE,214,1,111,72527878,0,-3.6797332763672,40.433120727539,1000,1,1,1458931131,1439982633,0
LTE,214,1,111,72528385,0,-3.6975860595703,40.441360473633,1000,1,1,1458931131,1441376573,0
LTE,214,1,111,72528388,0,-3.6962127685547,40.441360473633,1000,1,1,1458931131,1441376573,0
LTE,214,1,111,72528389,0,-3.6934661865234,40.441360473633,1000,1,1,1458931131,1441376573,0
LTE,214,1,111,72528390,0,-3.6962127685547,40.439987182617,1000,1,1,1458931131,1441100500,0
LTE,214,1,111,72550661,0,-3.6756134033203,40.424880981445,1000,1,1,1458931131,1439772257,0
LTE,214,1,111,72550662,0,-3.6756134033203,40.42350769043,1000,1,1,1458931131,1439621285,0
LTE,214,1,111,72707585,0,-3.6673736572266,40.429000854492,1000,1,1,1458931131,1440594753,0
LTE,214,1,111,72707587,0,-3.6714935302734,40.433120727539,1000,1,1,1458931131,1440959256,0
LTE,214,1,111,72707588,0,-3.6687469482422,40.427627563477,1000,1,1,1458931131,1440414578,0
LTE,214,1,111,72707589,0,-3.6742401123047,40.430374145508,1000,1,1,1458931131,1440594753,0
LTE,214,1,111,72707590,0,-3.6728668212891,40.433120727539,1000,1,1,1458931131,1440509551,0
LTE,214,1,111,72755717,0,-3.6687469482422,40.434494018555,1000,1,1,1458931131,1440959256,0
LTE,214,1,111,72783876,0,-3.6797332763672,40.42350769043,1000,1,1,1458931131,1439300226,0
